id,domain,domain_link,domain_group,crawled_by,requires_www,status_code,page_crawl_error,logo_found,logo_is_image,image_group,final_groups,logo_scrape_error,logo_link,logo_src,logo_image_type,logo_image_type
stanbicbank_co_zw,stanbicbank.co.zw,https://stanbicbank.co.zw,domain_group_1,,,,,,,,,,,,,
stanbicbank_co_bw,stanbicbank.co.bw,https://stanbicbank.co.bw,domain_group_1,,,,,,,,,,,,,
stanbicbank_co_zm,stanbicbank.co.zm,https://stanbicbank.co.zm,domain_group_1,,,,,,,,,,,,,
stanbicbank_co_ke,stanbicbank.co.ke,https://stanbicbank.co.ke,domain_group_1,,,,,,,,,,,,,
astrazeneca_ua,astrazeneca.ua,https://astrazeneca.ua,domain_group_2,,,,,,,,,,,,,
astrazeneca_hu,astrazeneca.hu,https://astrazeneca.hu,domain_group_2,,,,,,,,,,,,,
astrazeneca_no,astrazeneca.no,https://astrazeneca.no,domain_group_2,,,,,,,,,,,,,
astrazeneca_dk,astrazeneca.dk,https://astrazeneca.dk,domain_group_2,,,,,,,,,,,,,
astrazeneca_com_tr,astrazeneca.com.tr,https://astrazeneca.com.tr,domain_group_2,,,,,,,,,,,,,
astrazeneca_ca,astrazeneca.ca,https://astrazeneca.ca,domain_group_2,,,,,,,,,,,,,
astreitalia_it,astreitalia.it,https://astreitalia.it,domain_group_2,,,,,,,,,,,,,
astrazeneca_pt,astrazeneca.pt,https://astrazeneca.pt,domain_group_2,,,,,,,,,,,,,
astrazeneca_com_hk,astrazeneca.com.hk,https://astrazeneca.com.hk,domain_group_2,,,,,,,,,,,,,
autosecuritas-ct-seysses_fr,autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-barlin_fr,autosecuritas-barlin.fr,https://autosecuritas-barlin.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-ct-notre-dame-doe_fr,autosecuritas-ct-notre-dame-doe.fr,https://autosecuritas-ct-notre-dame-doe.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-passins_fr,autosecuritas-passins.fr,https://autosecuritas-passins.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-ctlp_fr,autosecuritas-ctlp.fr,https://autosecuritas-ctlp.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-tallard_fr,autosecuritas-tallard.fr,https://autosecuritas-tallard.fr,domain_group_3,,,,,,,,,,,,,
autosecuritaslemoule_fr,autosecuritaslemoule.fr,https://autosecuritaslemoule.fr,domain_group_3,,,,,,,,,,,,,
autosecuritas-ducos_fr,autosecuritas-ducos.fr,https://autosecuritas-ducos.fr,domain_group_3,,,,,,,,,,,,,
ovb_ro,ovb.ro,https://ovb.ro,domain_group_4,,,,,,,,,,,,,
ovb_at,ovb.at,https://ovb.at,domain_group_4,,,,,,,,,,,,,
ovb_gr,ovb.gr,https://ovb.gr,domain_group_4,,,,,,,,,,,,,
mazda-autohaus-hellwig-hoyerswerda_de,mazda-autohaus-hellwig-hoyerswerda.de,https://mazda-autohaus-hellwig-hoyerswerda.de,domain_group_5,,,,,,,,,,,,,
