domain,domain_link,domain_group,crawled_by,requires_www,status_code,page_crawl_error,logo_found,logo_is_image,image_group,final_groups,logo_scrape_error,logo_link,logo_src,logo_image_type,logo_image_type.1,selected,logo_file_name,id
stanbicbank.co.zw,https://stanbicbank.co.zw,domain_group_1,,True,200.0,,True,True,group_814,,,https://stanbicbank.co.zw/static_file/assets/icons/logo-open-app-store.jpg,/static_file/assets/icons/logo-open-app-store.jpg,jpg,,,logos\stanbicbank_co_zw.jpg,stanbicbank_co_zw
stanbicbank.co.bw,https://stanbicbank.co.bw,domain_group_1,,True,200.0,,False,,,,,,,,,,,stanbicbank_co_bw
stanbicbank.co.zm,https://stanbicbank.co.zm,domain_group_1,,,904.0,"HTTPSConnectionPool(host='www.stanbicbank.co.zm', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))",False,,,,,,,,,,,stanbicbank_co_zm
stanbicbank.co.ke,https://stanbicbank.co.ke,domain_group_1,,True,200.0,,False,,,,,,,,,,,stanbicbank_co_ke
astrazeneca.ua,https://astrazeneca.ua,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.ua/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_ua.png,astrazeneca_ua
astrazeneca.hu,https://astrazeneca.hu,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.hu/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_hu.png,astrazeneca_hu
astrazeneca.no,https://astrazeneca.no,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.no/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_no.png,astrazeneca_no
astrazeneca.dk,https://astrazeneca.dk,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.dk/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_dk.png,astrazeneca_dk
astrazeneca.com.tr,https://astrazeneca.com.tr,domain_group_2,,,902.0,"HTTPSConnectionPool(host='www.astrazeneca.com.tr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001CD95409970>: Failed to resolve 'www.astrazeneca.com.tr' ([Errno 11001] getaddrinfo failed)""))",,True,group_1059,,,,,png,,,logos\astrazeneca_com_tr.png,astrazeneca_com_tr
astrazeneca.ca,https://astrazeneca.ca,domain_group_2,,,,,True,True,group_1059,,,https://astrazeneca.ca/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_ca.png,astrazeneca_ca
astreitalia.it,https://astreitalia.it,domain_group_2,,,200.0,,True,True,group_812,,,https://www.astreitalia.it/wp-content/uploads/2022/02/ASTRE_logo_2022-neg.jpg,https://www.astreitalia.it/wp-content/uploads/2022/02/ASTRE_logo_2022-neg.jpg,jpg,,,logos\astreitalia_it.jpg,astreitalia_it
astrazeneca.pt,https://astrazeneca.pt,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.pt/etc/designs/az/img/logo-az-condensed.png,/etc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_pt.png,astrazeneca_pt
astrazeneca.com.hk,https://astrazeneca.com.hk,domain_group_2,,,200.0,,True,True,group_1059,,,https://astrazeneca.com.hk/usetc/designs/az/img/logo-az-condensed.png,usetc/designs/az/img/logo-az-condensed.png,png,,,logos\astrazeneca_com_hk.png,astrazeneca_com_hk
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-ct-seysses.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-ct-seysses_fr.svg,autosecuritas-ct-seysses_fr
autosecuritas-barlin.fr,https://autosecuritas-barlin.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-barlin.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-barlin_fr.svg,autosecuritas-barlin_fr
autosecuritas-ct-notre-dame-doe.fr,https://autosecuritas-ct-notre-dame-doe.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-ct-notre-dame-doe.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-ct-notre-dame-doe_fr.svg,autosecuritas-ct-notre-dame-doe_fr
autosecuritas-passins.fr,https://autosecuritas-passins.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-passins.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-passins_fr.svg,autosecuritas-passins_fr
autosecuritas-ctlp.fr,https://autosecuritas-ctlp.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-ctlp.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-ctlp_fr.svg,autosecuritas-ctlp_fr
autosecuritas-tallard.fr,https://autosecuritas-tallard.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-tallard.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-tallard_fr.svg,autosecuritas-tallard_fr
autosecuritaslemoule.fr,https://autosecuritaslemoule.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritaslemoule.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritaslemoule_fr.svg,autosecuritaslemoule_fr
autosecuritas-ducos.fr,https://autosecuritas-ducos.fr,domain_group_3,,,200.0,,True,True,group_932,,,https://autosecuritas-ducos.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,/public/img/member-site-v2/logo/autosecuritas-logo.svg,svg,,,logos\autosecuritas-ducos_fr.svg,autosecuritas-ducos_fr
ovb.ro,https://ovb.ro,domain_group_4,,,200.0,,False,,,,,,,,,,,ovb_ro
ovb.at,https://ovb.at,domain_group_4,,,200.0,,False,,,,,,,,,,,ovb_at
ovb.gr,https://ovb.gr,domain_group_4,,,904.0,"HTTPSConnectionPool(host='www.ovb.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))",False,,,,,,,,,,,ovb_gr
mazda-autohaus-hellwig-hoyerswerda.de,https://mazda-autohaus-hellwig-hoyerswerda.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hellwig-hoyerswerda_de
mazda-autohaus-kaschmieder-waren.de,https://mazda-autohaus-kaschmieder-waren.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-kaschmieder-waren_de
mazda-autohaus-lackmann-sendenhorst.de,https://mazda-autohaus-lackmann-sendenhorst.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-lackmann-sendenhorst_de
mazda-autohaus-roessel-birkenau.de,https://mazda-autohaus-roessel-birkenau.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-roessel-birkenau_de
mazda-autohaus-wassing-ahaus-wuellen.de,https://mazda-autohaus-wassing-ahaus-wuellen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wassing-ahaus-wuellen_de
mazda-autohaus-henseler-schwedt.de,https://mazda-autohaus-henseler-schwedt.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-henseler-schwedt_de
mazda-autohaus-hansmann-kassel.de,https://mazda-autohaus-hansmann-kassel.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hansmann-kassel_de
mazda-autohaus-sturne-rochlitz.de,https://mazda-autohaus-sturne-rochlitz.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-sturne-rochlitz_de
mazda-autohaus-blank-dinkelsbuehl.de,https://mazda-autohaus-blank-dinkelsbuehl.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-blank-dinkelsbuehl_de
mazda-autohaus-becker-homburg-bruchhof.de,https://mazda-autohaus-becker-homburg-bruchhof.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-becker-homburg-bruchhof_de
mazda-autohaus-sturne-grimma.de,https://mazda-autohaus-sturne-grimma.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-sturne-grimma_de
mazda-autohaus-fenzl-hauzenberg.de,https://mazda-autohaus-fenzl-hauzenberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-fenzl-hauzenberg_de
mazda-autohaus-tabbouch-speyer.de,https://mazda-autohaus-tabbouch-speyer.de,domain_group_5,,True,200.0,,False,,,,,,,,,,,mazda-autohaus-tabbouch-speyer_de
mazda-autohaus-haese-erkrath-hochdahl.de,https://mazda-autohaus-haese-erkrath-hochdahl.de,domain_group_5,,True,200.0,,False,,,,,,,,,,,mazda-autohaus-haese-erkrath-hochdahl_de
mazda-autohaus-kilger-regen.de,https://mazda-autohaus-kilger-regen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-kilger-regen_de
mazda-autohaus-banaszak-kleve.de,https://mazda-autohaus-banaszak-kleve.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-banaszak-kleve_de
mazda-autohaus-elstner-jena.de,https://mazda-autohaus-elstner-jena.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-elstner-jena_de
mazda-autohaus-dorner-riedlingen.de,https://mazda-autohaus-dorner-riedlingen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-dorner-riedlingen_de
mazda-autohaus-ludwig-halle-neustadt.de,https://mazda-autohaus-ludwig-halle-neustadt.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-ludwig-halle-neustadt_de
mazda-angola-autozuid.com,https://mazda-angola-autozuid.com,domain_group_5,,,200.0,,False,True,group_1175,,,,,png,,,logos\mazda-angola-autozuid_com.png,mazda-angola-autozuid_com
mazda-autohaus-buelo-naumburg.de,https://mazda-autohaus-buelo-naumburg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-buelo-naumburg_de
mazda-autohaus-thoss-falkenstein.de,https://mazda-autohaus-thoss-falkenstein.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-thoss-falkenstein_de
mazda-autohaus-lotspeich-muenchen.de,https://mazda-autohaus-lotspeich-muenchen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-lotspeich-muenchen_de
mazda-autohaus-fritsche-grossschoenau.de,https://mazda-autohaus-fritsche-grossschoenau.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-fritsche-grossschoenau_de
mazda-autohaus-schindlbeck-straubing.de,https://mazda-autohaus-schindlbeck-straubing.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schindlbeck-straubing_de
mazda-autohaus-mueller-und-thurnes-tholey.de,https://mazda-autohaus-mueller-und-thurnes-tholey.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-mueller-und-thurnes-tholey_de
mazda-autohaus-albstadt-auto-domicil-ebingen.de,https://mazda-autohaus-albstadt-auto-domicil-ebingen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-albstadt-auto-domicil-ebingen_de
mazda-autohaus-doerenkaemper-bad-hersfeld.de,https://mazda-autohaus-doerenkaemper-bad-hersfeld.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-doerenkaemper-bad-hersfeld_de
mazda-autohaus-stiefel-muehlacker.de,https://mazda-autohaus-stiefel-muehlacker.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-stiefel-muehlacker_de
mazda-autohaus-boehme-lutherstadt-wittenberg.de,https://mazda-autohaus-boehme-lutherstadt-wittenberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-boehme-lutherstadt-wittenberg_de
mazda-autohaus-abs-erlangen.de,https://mazda-autohaus-abs-erlangen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-abs-erlangen_de
mazda-autohaus-wilhelm-huellhorst.de,https://mazda-autohaus-wilhelm-huellhorst.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wilhelm-huellhorst_de
mazda-autohaus-lehmann-senftenberg.de,https://mazda-autohaus-lehmann-senftenberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-lehmann-senftenberg_de
mazda-autohaus-heider-dresden.de,https://mazda-autohaus-heider-dresden.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-heider-dresden_de
mazda-autohaus-rausch-dresden.de,https://mazda-autohaus-rausch-dresden.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-rausch-dresden_de
mazda-autohaus-voigtlaender-meyer-hamburg.de,https://mazda-autohaus-voigtlaender-meyer-hamburg.de,domain_group_5,,True,200.0,,False,,,,,,,,,,,mazda-autohaus-voigtlaender-meyer-hamburg_de
mazda-automobile-weberpals-sonneberg-hoenbach.de,https://mazda-automobile-weberpals-sonneberg-hoenbach.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-automobile-weberpals-sonneberg-hoenbach_de
mazda-autohaus-hansmann-melsungen.de,https://mazda-autohaus-hansmann-melsungen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hansmann-melsungen_de
mazda-autohaus-schmidt-meschede.de,https://mazda-autohaus-schmidt-meschede.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schmidt-meschede_de
mazda-autohaus-weber-magdeburg.de,https://mazda-autohaus-weber-magdeburg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-weber-magdeburg_de
mazda-tarnowskiegory-mirai.pl,https://mazda-tarnowskiegory-mirai.pl,domain_group_5,,,903.0,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",False,,,,,,,,,,,mazda-tarnowskiegory-mirai_pl
